S1WCET = 0.016056037, S2WCET = 0.021112908, S3WCET = 0.059223556
S1WCET = 0.012142445, S2WCET = 0.023192148, S3WCET = 0.060228277
S1WCET = 0.012137185, S2WCET = 0.021174797, S3WCET = 0.081461092
S1WCET = 0.013791074, S2WCET = 0.023432167, S3WCET = 0.042275537
S1WCET = 0.012113260, S2WCET = 0.021096314, S3WCET = 0.057562222
S1WCET = 0.013808666, S2WCET = 0.022313240, S3WCET = 0.042037019
S1WCET = 0.012109741, S2WCET = 0.023222074, S3WCET = 0.041963797
S1WCET = 0.013149612, S2WCET = 0.022718796, S3WCET = 0.041956074
S1WCET = 0.013821926, S2WCET = 0.021447593, S3WCET = 0.042032555
S1WCET = 0.013169815, S2WCET = 0.021024574, S3WCET = 0.041998963



